,rad,,,,,,,,,,,,,,pack
onespecies1,0.030445,1,200,0.066328513,0.065190709,0.003315287,0.06103243,0.075813505,200,0.066328513,0.065190709,0.003315287,0.06103243,0.075813505,58.2%
onespecies2,0.0304554,1,200,0.065190495,0.064694317,0.002825758,0.060911895,0.074103956,200,0.065190495,0.064694317,0.002825758,0.060911895,0.074103956,58.3%
onespecies3,0.0304883,1,200,0.065737578,0.065167635,0.00301678,0.061232797,0.07618713,200,0.065737578,0.065167635,0.00301678,0.061232797,0.07618713,58.4%
onespecies4,0.0304512,1,200,0.064716414,0.064218519,0.002792811,0.06091498,0.072986428,200,0.064716414,0.064218519,0.002792811,0.06091498,0.072986428,58.3%
onespecies5,0.0304427,1,200,0.064594481,0.064051447,0.002670189,0.060887064,0.073404486,200,0.064594481,0.064051447,0.002670189,0.060887064,0.073404486,58.2%
onespecies6,0.0304587,1,200,0.065716687,0.065087193,0.00331991,0.061082754,0.07516006,200,0.065716687,0.065087193,0.00331991,0.061082754,0.07516006,58.3%
onespecies7,0.0304465,1,200,0.064713052,0.06452537,0.002646138,0.061062101,0.078682141,200,0.064713052,0.06452537,0.002646138,0.061062101,0.078682141,58.2%
onespecies8,0.0304594,1,200,0.065299017,0.064942372,0.00329735,0.060936127,0.083155158,200,0.065299017,0.064942372,0.00329735,0.060936127,0.083155158,58.3%
onespecies9,0.0304323,1,200,0.065281618,0.064669931,0.003197397,0.060959529,0.077371844,200,0.065281618,0.064669931,0.003197397,0.060959529,0.077371844,58.2%
onespecies10,0.0307585,1,200,0.06462824,0.064487713,0.002157916,0.061572842,0.073447516,200,0.06462824,0.064487713,0.002157916,0.061572842,0.073447516,59.4%
onespecies11,0.0304236,1,200,0.065192803,0.064652406,0.00303068,0.060906545,0.072987469,200,0.065192803,0.064652406,0.00303068,0.060906545,0.072987469,58.2%
onespecies12,0.0431178,1,100,0.092004471,0.090757226,0.004856378,0.086313167,0.10629508,100,0.092004471,0.090757226,0.004856378,0.086313167,0.10629508,58.4%
onespecies13,0.0430745,1,100,0.093962094,0.093434789,0.004659851,0.086230724,0.105465597,100,0.093962094,0.093434789,0.004659851,0.086230724,0.105465597,58.3%
onespecies14,0.0431801,1,100,0.09278416,0.092045015,0.004390631,0.086618595,0.105389054,100,0.09278416,0.092045015,0.004390631,0.086618595,0.105389054,58.6%
onespecies15,0.0431299,1,100,0.091992946,0.091575614,0.004767595,0.086392916,0.102584983,100,0.091992946,0.091575614,0.004767595,0.086392916,0.102584983,58.4%
onespecies16,0.0434582,1,100,0.091167397,0.091121277,0.002530995,0.087103618,0.102672039,100,0.091167397,0.091121277,0.002530995,0.087103618,0.102672039,59.3%
onespecies17,0.0430393,1,100,0.091814643,0.091898973,0.004015712,0.086104454,0.103276977,100,0.091814643,0.091898973,0.004015712,0.086104454,0.103276977,58.2%
onespecies18,0.0438161,1,100,0.091636541,0.090789226,0.003504613,0.087934668,0.106187245,100,0.091636541,0.090789226,0.003504613,0.087934668,0.106187245,60.3%
onespecies19,0.0431731,1,100,0.09203268,0.091641055,0.003302308,0.0864599,0.101888526,100,0.09203268,0.091641055,0.003302308,0.0864599,0.101888526,58.6%
onespecies20,0.0430943,1,100,0.090746141,0.089998354,0.003278152,0.086497447,0.100696927,100,0.090746141,0.089998354,0.003278152,0.086497447,0.100696927,58.3%
onespecies21,0.0432704,1,100,0.089048471,0.088443508,0.002809036,0.086581776,0.104399754,100,0.089048471,0.088443508,0.002809036,0.086581776,0.104399754,58.8%
onespecies22,0.0441454,1,100,0.091501555,0.091109848,0.00254856,0.088495077,0.104508053,100,0.091501555,0.091109848,0.00254856,0.088495077,0.104508053,61.2%
