,rad0,rad1,rad0_n,rad1_n,N0,mean,med,std,min,max,N0,mean,med,std,min,max,N0,mean,med,std,min,max
twospecies1,0.0303206,0.00303206,1,0.1,200,0.06442438,0.063930068,0.002766446,0.060750174,0.077355669,100,0.091694851,0.09155614,0.00498555,0.078801997,0.102753416,300,0.039285318,0.034825319,0.007404607,0.033354156,0.066295967
twospecies2,0.0302806,0.00363368,1,0.120000264,200,0.065065247,0.065129258,0.002756381,0.06062415,0.072217862,100,0.090454539,0.091511628,0.005822835,0.076671761,0.105578366,300,0.040342303,0.036500213,0.008038583,0.033915949,0.068799757
twospecies3,0.0302654,0.00423716,1,0.140000132,200,0.065004624,0.064771528,0.003175141,0.060550659,0.076686723,100,0.090459935,0.090440548,0.004871183,0.079837105,0.101754825,300,0.039837744,0.035394475,0.007685135,0.034503803,0.068641161
twospecies4,0.0301936,0.00483098,1,0.160000132,200,0.064791413,0.064531017,0.002995554,0.060461361,0.072130294,100,0.090146424,0.09104291,0.005552925,0.077827188,0.104453798,300,0.040002114,0.03615426,0.006824314,0.035035941,0.064563212
twospecies5,0.030152,0.00542737,1,0.180000332,200,0.06494363,0.064624392,0.003212359,0.06032397,0.073864125,100,0.090861143,0.09119224,0.006177217,0.077629474,0.112169016,300,0.040314067,0.036496882,0.006782403,0.035598854,0.066181277
twospecies6,0.0300888,0.00601776,1,0.2,200,0.064949908,0.064844647,0.002985063,0.060211456,0.075984876,100,0.09092758,0.090448167,0.005429187,0.078836437,0.106037913,300,0.040607664,0.036905261,0.00649079,0.036140316,0.068848354
twospecies7,0.0300304,0.00660668,1,0.219999734,200,0.064907227,0.064677077,0.003364067,0.060064328,0.075342575,100,0.089971536,0.089152905,0.005180482,0.081606182,0.112971408,300,0.040836453,0.037573086,0.006238247,0.036644658,0.071094163
twospecies8,0.0299638,0.00719131,1,0.239999933,200,0.064342833,0.064179962,0.003039617,0.0599593,0.076792684,100,0.091254611,0.09070346,0.004339857,0.079701698,0.099621915,300,0.041617973,0.037776472,0.006461632,0.037155527,0.06633036
twospecies9,0.02989,0.00777141,1,0.260000335,200,0.064632891,0.06455364,0.003225423,0.059847276,0.075034921,100,0.089731191,0.089954161,0.00565381,0.07430155,0.102681176,300,0.041783027,0.038582199,0.006064321,0.037664055,0.070884555
twospecies10,0.0298139,0.00834788,1,0.279999598,200,0.064454286,0.0639593,0.002979445,0.059679045,0.072252401,100,0.089681889,0.09022149,0.005614499,0.07621048,0.102990902,300,0.042164299,0.038860431,0.005966914,0.038167287,0.067795438
twospecies11,0.029725,0.00891751,1,0.300000336,200,0.064435334,0.064051727,0.003407108,0.059469788,0.075802255,100,0.089484687,0.08951666,0.005458081,0.072355168,0.104066201,300,0.042243546,0.039256541,0.005471204,0.038643952,0.065850077
twospecies12,0.0296406,0.00948501,1,0.320000607,200,0.064296161,0.064620512,0.003060755,0.059292918,0.07451948,100,0.089847737,0.090260524,0.005538266,0.077041989,0.110014534,300,0.042310616,0.039732597,0.005450343,0.039125695,0.069224371
twospecies13,0.0295469,0.010046,1,0.340001828,200,0.064170148,0.063921863,0.0033677,0.059146055,0.075946873,100,0.090372591,0.090354999,0.006511608,0.071857174,0.108332966,300,0.042765839,0.040131366,0.005205307,0.039595482,0.070195955
twospecies14,0.0294514,0.0106025,1,0.359999864,200,0.063899733,0.06364573,0.003150846,0.05892276,0.074529516,100,0.089273417,0.089050263,0.007187784,0.062103665,0.11218853,300,0.043674295,0.040776807,0.005384779,0.04006292,0.065661934
twospecies15,0.0293446,0.011151,1,0.380001772,200,0.064530298,0.064007455,0.003251428,0.058978177,0.072937854,100,0.090469087,0.090069703,0.004866333,0.081253008,0.104342138,300,0.043306322,0.041057203,0.004965101,0.040496256,0.068900753
twospecies16,0.0292443,0.0116977,1,0.399999316,200,0.064597408,0.064117051,0.003560017,0.058550677,0.083501518,100,0.090765195,0.090527132,0.005531297,0.078416933,0.103615352,300,0.043521821,0.041392842,0.004779644,0.040943298,0.070124104
twospecies17,0.0291287,0.012234,1,0.419998146,200,0.064037771,0.063760875,0.003245608,0.058273082,0.072558604,100,0.089282934,0.088678256,0.00516734,0.076222726,0.10590622,300,0.043960531,0.041937059,0.004572274,0.041369293,0.065075795
twospecies18,0.0290135,0.0127659,1,0.439998621,200,0.063783366,0.063501477,0.00376375,0.058049253,0.073366571,100,0.091109329,0.090506236,0.005155488,0.083924965,0.10749256,300,0.044400494,0.042292329,0.005028322,0.041783243,0.071337215
twospecies19,0.0288944,0.0132914,1,0.459999169,200,0.064280332,0.06434536,0.003485802,0.057814394,0.075052501,100,0.089089661,0.088926886,0.006514641,0.065201088,0.106642778,300,0.044810231,0.042586853,0.005075109,0.042185886,0.069398747
twospecies20,0.0287755,0.0138122,1,0.47999861,200,0.063839954,0.063419068,0.003728057,0.057592273,0.075160548,100,0.090198757,0.08943405,0.005098747,0.082382337,0.103665383,300,0.045260166,0.043110174,0.004803522,0.042592814,0.067078348
twospecies21,0.0286493,0.0143247,1,0.500001745,200,0.063917448,0.063995112,0.003794144,0.057305674,0.074343437,100,0.089550245,0.088254256,0.005213655,0.077620353,0.10428934,300,0.045369448,0.043436302,0.004315051,0.042983474,0.067736932
twospecies22,0.0285204,0.0148306,1,0.519999719,200,0.064019929,0.064017529,0.003813534,0.057228718,0.075925244,100,0.089883489,0.090116642,0.005127352,0.078374239,0.109228881,300,0.045650311,0.043813616,0.004211462,0.043360074,0.067691869
twospecies23,0.0283882,0.0153296,1,0.539999014,200,0.063751625,0.06386041,0.003446451,0.056975782,0.075613562,100,0.089761262,0.089597682,0.00571321,0.078033286,0.104290776,300,0.045645762,0.044084735,0.003647292,0.043718729,0.064251448
twospecies24,0.0282697,0.015831,1,0.559998868,200,0.06401801,0.064050456,0.003749378,0.056626917,0.08638788,99,0.090001502,0.089997712,0.005560966,0.078628579,0.11084474,299,0.045894716,0.044516037,0.003608074,0.044100491,0.063052604
twospecies25,0.0281203,0.0163097,1,0.579997368,200,0.063923038,0.063852037,0.003750739,0.056481437,0.084820614,100,0.089717765,0.08974858,0.00702898,0.063919772,0.110362532,300,0.046465529,0.044856554,0.003862882,0.044431976,0.064938357
twospecies26,0.0279714,0.0167828,1,0.59999857,200,0.063810133,0.063810099,0.00361196,0.05595204,0.075247844,100,0.088408612,0.088640286,0.00517417,0.076354299,0.104006689,300,0.046420897,0.045121042,0.003600253,0.044756697,0.068584155
twospecies27,0.0278298,0.0172544,1,0.619997269,200,0.063455831,0.06361632,0.003864203,0.055802274,0.073635401,100,0.089146862,0.09028638,0.008735058,0.055585857,0.111805371,300,0.046700343,0.045474492,0.003265969,0.04508505,0.06647658
twospecies28,0.0276889,0.0177209,1,0.640000144,200,0.063419041,0.062705115,0.004054268,0.05541301,0.078546097,100,0.090564763,0.09137536,0.004655659,0.07896821,0.105059042,300,0.047221611,0.045854513,0.003509195,0.045410187,0.067233597
twospecies29,0.0275332,0.0181719,1,0.659999564,200,0.063274101,0.063146257,0.004054962,0.055067063,0.074181,100,0.089749389,0.090322894,0.006483234,0.069362617,0.105961566,300,0.04701867,0.046031803,0.002863468,0.045707005,0.062665327
twospecies30,0.0273837,0.0186209,1,0.679999416,200,0.063340229,0.063364901,0.004156125,0.054795717,0.076797462,100,0.087621991,0.089506906,0.008287129,0.060490479,0.104367624,300,0.047785567,0.046327638,0.004026486,0.046007201,0.066146478
twospecies31,0.0272387,0.0190671,1,0.700000367,200,0.063036652,0.063168728,0.0039543,0.054602912,0.075510202,100,0.088387585,0.089370426,0.007149618,0.070408879,0.113114844,300,0.047690306,0.046618179,0.003056155,0.046309804,0.068516752
twospecies32,0.0270798,0.0194974,1,0.719997932,200,0.063319454,0.063376097,0.004105812,0.054235684,0.074116657,100,0.089146602,0.091316572,0.007525788,0.058024973,0.111781155,300,0.048048774,0.046928731,0.00333898,0.046585912,0.066150735
twospecies33,0.0269225,0.0199227,1,0.740001857,200,0.063142232,0.062833401,0.004267131,0.054292798,0.08011342,100,0.089648196,0.090859734,0.006752985,0.07406355,0.106732616,300,0.048127556,0.047202746,0.00286149,0.046845987,0.066902575
twospecies34,0.0267686,0.0203442,1,0.760002391,200,0.062989241,0.063131947,0.004267724,0.054071159,0.0758804,100,0.087793904,0.089277862,0.006406636,0.070827116,0.099983989,300,0.048350794,0.047408612,0.002698157,0.047118393,0.06273728
twospecies35,0.0266101,0.0207559,1,0.780000827,200,0.063217967,0.063336204,0.004172418,0.053348234,0.072410342,100,0.090047682,0.090234784,0.005501879,0.076266637,0.107014605,300,0.048836729,0.047632052,0.003634613,0.047366769,0.069996036
twospecies36,0.0264488,0.021159,1,0.799998488,200,0.062498643,0.062683114,0.00420959,0.052906383,0.072674617,100,0.089991074,0.091215188,0.006589561,0.069649099,0.10709762,300,0.048750659,0.047867333,0.002618314,0.047609801,0.065367041
twospecies37,0.0262849,0.0215536,1,0.819999315,200,0.063065612,0.062954255,0.004192963,0.052946542,0.080053853,100,0.090152754,0.091116617,0.007357194,0.058280801,0.109731182,300,0.049072307,0.048152713,0.002957075,0.047839215,0.06818369
twospecies38,0.0261293,0.0219486,1,0.839999541,200,0.06263162,0.062993348,0.004638105,0.052344967,0.080392118,100,0.088828825,0.089585701,0.007894194,0.056772004,0.106358966,300,0.048847129,0.048332712,0.001700737,0.048080205,0.059803083
twospecies39,0.0259621,0.0223274,1,0.859999769,200,0.06269093,0.062743356,0.004913176,0.051972918,0.074770886,100,0.087294914,0.089550733,0.009578702,0.045490881,0.106413715,300,0.049296195,0.048540202,0.002625674,0.045490881,0.068823866
twospecies40,0.0257974,0.0227017,1,0.879999535,200,0.062010618,0.061866287,0.004165755,0.05365698,0.075533483,100,0.086372781,0.088062191,0.008863561,0.062378266,0.100540226,300,0.04953586,0.0487152,0.00270124,0.048499519,0.068593321
twospecies41,0.025634,0.0230706,1,0.9,200,0.061932595,0.062055049,0.004742242,0.051336318,0.075382848,100,0.088152773,0.088766315,0.008427216,0.05927429,0.103386923,300,0.04962053,0.048941898,0.002083186,0.048705586,0.063424094
twospecies42,0.0254707,0.0234331,1,0.920002199,200,0.061506388,0.060901925,0.004146286,0.054242804,0.073446299,100,0.087956265,0.088111958,0.007385672,0.070968721,0.110680683,300,0.049893176,0.049149416,0.002300323,0.048904822,0.064796516
twospecies43,0.0253092,0.0237906,1,0.939998103,200,0.061532274,0.06202914,0.004529101,0.050680227,0.073068064,100,0.087649884,0.088115706,0.008436387,0.068919112,0.110479771,300,0.050209722,0.049320715,0.002696657,0.049101849,0.068117842
twospecies44,0.0251441,0.0241383,1,0.959998568,200,0.061124896,0.060863596,0.004577609,0.051148156,0.074831076,100,0.088674591,0.090000236,0.008258969,0.067301528,0.110341196,300,0.049998517,0.049496352,0.001996603,0.049285728,0.064915043
twospecies45,0.0249775,0.024478,1,0.980002002,200,0.061441002,0.060753678,0.005195835,0.050663042,0.083365497,100,0.088939647,0.090519001,0.008347669,0.06825742,0.10648811,300,0.050160897,0.049675629,0.001977936,0.049455228,0.068658501
twospecies46,0.0248087,0.0248087,1,1,100,0.086284339,0.087130196,0.009433039,0.059772691,0.102929081,200,0.061173687,0.061440635,0.005296521,0.049842559,0.07597146,300,0.050477987,0.049818534,0.002146994,0.049621591,0.068795136
twospecies47,0.025136,0.0246432,1,0.980394653,100,0.088257344,0.089532088,0.008360045,0.065311635,0.110292569,200,0.061603227,0.062019631,0.004628414,0.049528076,0.073255207,300,0.050323581,0.049977594,0.001344463,0.049528076,0.060531668
twospecies48,0.025458,0.0244788,1,0.961536649,100,0.087281998,0.089184273,0.008368752,0.064431089,0.105615283,200,0.061365145,0.061386461,0.004460789,0.049967306,0.070228229,300,0.050628309,0.050138459,0.001642181,0.049939352,0.061280711
twospecies49,0.0257769,0.0243178,1,0.943395055,100,0.088254387,0.090795822,0.009805714,0.056229039,0.10967396,200,0.060285959,0.060510876,0.004857443,0.050479322,0.072495337,300,0.05087596,0.050308271,0.001800825,0.050099281,0.064356511
