r0,r1,99H,100L,99to100,200H,201L,200to201,297H,298L,297to298,299H,300L,299to300
0.25,0.25,0.166933151,0.167561638,0.003757829,0.22601092,0.226298512,0.001271663,0.302025872,0.30369485,0.005510716,0.305623847,0.321937231,0.051989789
0.3,0.25,0.154302846,0.154440244,0.000890045,0.207626677,0.209165754,0.007385341,0.281921058,0.286347454,0.015578535,0.287198867,0.298399355,0.038253149
0.25,0.2,0.173791599,0.173738512,0,0.229555567,0.231288443,0.007520445,0.314279213,0.317859503,0.011327545,0.319710554,0.331689788,0.036779944
0.2,0.25,0.181889869,0.182038572,0.000817212,0.249390966,0.2498083,0.001672013,0.324845635,0.325209068,0.001118161,0.327048963,0.339296119,0.0367592
0.25,0.3,0.160631133,0.160503491,0,0.220849568,0.221059825,0.000951581,0.294667652,0.295460788,0.00268801,0.295925961,`+M6,0.03073005
0.3,0.3,0.149265202,0.149660904,0.002647489,0.204921119,0.205133735,0.00103701,0.276057439,0.27797105,0.006907988,0.279033801,0.287386715,0.029493686
0.2,0.2,0.191725301,0.192525909,0.004167106,0.256391064,0.256891511,0.001949987,0.337804753,0.339383639,0.004663064,0.342090104,0.351119025,0.026049633
0.3,0.2,0.158336766,0.158606653,0.001703065,0.210248225,0.219576227,0.043403773,0.29100112,0.29780309,0.023104351,0.297868501,0.304800716,0.023005044
0,0.45,0.144895674,0.198896937,0.314150225,0.244699246,0.244332359,0,0.276206733,0.292511357,0.05733816,0.295987465,0.300686758,0.015751618
0,0.5,0.138005999,0.182687179,0.278653756,0.225000951,0.225066668,0.000292031,0.257790992,0.285829845,0.103155919,0.288626207,0.293163284,0.015596971
0.05,0.5,0.137844742,0.181071666,0.271086235,0.224395868,0.224277061,0,0.25740783,0.28215678,0.091736742,0.285011987,0.289259544,0.01479285
0.05,0.45,0.144660855,0.196488969,0.303843708,0.243385281,0.243064646,0,0.275740109,0.288720302,0.045991506,0.292332338,0.296480615,0.014090304
0.1,0.5,0.137318932,0.175737343,0.245440924,0.221513607,0.221326501,0,0.256184631,0.269545843,0.050829132,0.272599564,0.27584363,0.01183009
0.1,0.45,0.143953439,0.188639922,0.268715424,0.239045985,0.239037568,0,0.274028138,0.276598215,0.009335102,0.280725627,0.283216918,0.008835267
0,0.4,0.153567814,0.215330055,0.33484737,0.268647219,0.268208896,0,0.300387823,0.301883026,0.004965217,0.307229653,0.309903624,0.008665783
0.15,0.25,0.191454325,0.202525689,0.056202666,0.283209317,0.283267364,0.000204938,0.353581365,0.354068882,0.001377845,0.356437533,0.359332021,0.008087765
0.05,0.4,0.153236441,0.211834987,0.321025105,0.26641958,0.266181286,0,0.299613435,0.29978933,0.000586902,0.304270913,0.306288741,0.006609766
0.25,0.35,0.153314159,0.155070381,0.011389818,0.215960427,0.216168876,0.000964753,0.282046033,0.284546271,0.008825526,0.284747732,0.286613923,0.006532435
0.15,0.5,0.136382338,0.166389609,0.198216985,0.216220875,0.216335008,0.000527712,0.252956054,0.253234621,0.001100639,0.255140073,0.256626121,0.005807524
0.3,0.15,0.161513813,0.161961123,0.002765652,0.211990532,0.244693122,0.143217696,0.311043504,0.311427996,0.001235371,0.311766267,0.313467211,0.005440988
0.15,0.2,0.210942969,0.211280744,0.00159998,0.291780222,0.292347957,0.001943872,0.366407401,0.36732971,0.002514006,0.368671281,0.370550464,0.00508422
0.1,0.2,0.220578301,0.234163752,0.059750137,0.336450763,0.336883152,0.001284325,0.411671368,0.412124574,0.001100287,0.413632214,0.415731112,0.005061469
0.15,0.3,0.174269979,0.196831496,0.12159217,0.274039984,0.274097139,0.000208543,0.33245451,0.334979929,0.007567541,0.3357358,0.337242784,0.00447855
0.35,0.25,0.142932242,0.143268453,0.00234948,0.194158093,0.196702848,0.013021278,0.263133768,0.269472466,0.023802567,0.269533084,0.27065424,0.00415099
0.35,0.4,0.132303873,0.133086323,0.005896598,0.185395717,0.185988612,0.003192893,0.243436376,0.244265303,0.003399318,0.244497133,0.24549226,0.00406183
0.25,0.15,0.17882077,0.179308927,0.002726146,0.232348111,0.254180628,0.089748107,0.336419297,0.341058656,0.013695971,0.341275134,0.342648626,0.004016508
0.3,0.35,0.144564941,0.144681836,0.000808268,0.200298231,0.200851916,0.00276049,0.269097247,0.269768093,0.002489845,0.271179908,0.272164242,0.003623245
0.4,0.3,0.130977062,0.13136999,0.002995485,0.182255679,0.183522852,0.006928633,0.240930316,0.241706672,0.003217143,0.2419939,0.242850306,0.003532706
0.2,0.15,0.200642964,0.200930254,0.001430821,0.261296354,0.265807521,0.017116805,0.362834798,0.363490006,0.001804173,0.3636743,0.364893725,0.003347458
0.35,0.3,0.139776432,0.140052864,0.001975721,0.192163001,0.193321403,0.006010113,0.258298458,0.262275852,0.015280795,0.263429523,0.264267183,0.003174777
0.2,0,0.209942055,0.209553533,0,0.264438717,0.328651635,0.216536712,0.423579487,0.424562888,0.002318953,0.426066851,0.427276872,0.002835951
0.1,0,0.284710026,0.282355555,0,0.383577437,0.383895664,0.000829286,0.489266452,0.48942883,0.000331826,0.490453037,0.491518227,0.002169493
0.4,0.4,0.125806319,0.126300267,0.003918563,0.17687162,0.176963065,0.00051688,0.229776734,0.229839884,0.000274793,0.230714725,0.231208824,0.002139311
0.3,0.4,0.139814557,0.140197917,0.002738169,0.196292908,0.19706288,0.003914888,0.254835077,0.25604284,0.004728189,0.256687388,0.257233203,0.002124123
0.15,0.45,0.142759198,0.175877316,0.207873965,0.231173211,0.231000139,0,0.267334595,0.267843353,0.001901268,0.269079905,0.269616495,0.001992181
0.1,0.15,0.248664195,0.250324263,0.006653734,0.350458978,0.35022411,0,0.425200128,0.427896107,0.006320457,0.428570716,0.429403541,0.001941374
0.4,0.35,0.128509803,0.128972148,0.003591285,0.180017362,0.180420013,0.002234232,0.23648878,0.236477838,0,0.236945253,0.237366856,0.001777742
0.35,0.45,0.129009715,0.129512086,0.00388649,0.1821121,0.182511149,0.002188826,0.233434897,0.233763367,0.001406126,0.234367075,0.234778972,0.001755945
0.15,0.15,0.226055849,0.226873768,0.003611682,0.302163356,0.302205667,0.000140017,0.383490903,0.38651739,0.007860922,0.38781422,0.388469464,0.001688157
0.2,0.1,0.206260769,0.206301255,0.000196264,0.263515735,0.299871362,0.129060916,0.393557806,0.394064485,0.001286604,0.39508736,0.395743887,0.001660346
0.1,0.4,0.15232423,0.200896029,0.275022726,0.259476618,0.259641892,0.000636748,0.295267249,0.296041609,0.002619139,0.297055339,0.297531554,0.001601837
0.15,0,0.243819102,0.242903841,0,0.31090012,0.345797216,0.106280609,0.454057693,0.45451358,0.001003525,0.455441271,0.456151508,0.001558232
0.3,0.5,0.130615294,0.132519275,0.014471535,0.187458021,0.188380387,0.004908316,0.230835742,0.231016869,0.000784347,0.231290912,0.231627524,0.001454305
0.2,0.05,0.209081697,0.208764189,0,0.264253709,0.323422797,0.201366187,0.41901446,0.419434143,0.001001095,0.420477976,0.421074062,0.001416633
0.45,0.45,0.117510127,0.1180605,0.004672679,0.16706234,0.167351455,0.001729084,0.211227026,0.211288045,0.000288838,0.211706457,0.211994143,0.001357967
0,0.1,0.298724599,0.298772745,0.000161157,0.425460481,0.425768655,0.000724067,0.520124742,0.520367785,0.000467169,0.521826254,0.522505861,0.001301515
