rad,584H,585L,584to585,585H,586L,585to586,
0.0,0.565323274983,0.552082327122,0,0.567211254083,0.552082384646,0,
0.1,0.439948601994,0.440197644927,0.000565912617852,0.440246713509,0.440610616103,0.000826246388955,
0.2,0.309598120507,0.31194119733,0.00753959325155,0.311942053332,0.331008050641,0.0593078597863,
0.3,0.254679144483,0.278067603907,0.0878032930078,0.278067987076,0.290748651447,0.0445861232355,
0.4,0.22141605694,0.223740381426,0.0104427310755,0.223754847177,0.225748118864,0.00886878102181,
0.5,0.192980172266,0.192892313061,0,0.19305092779,0.193110371048,0.000307867505465,
0.05,0.535243697564,0.53436978023,0,0.53562549105,0.534676836647,0,
0.15,0.35801542542,0.359861749042,0.0051438426711,0.359862703487,0.36501577996,0.0142177664012,
0.25,0.279507476958,0.293822762808,0.0499373131112,0.293823519602,0.316793265986,0.075234572408,
0.35,0.236259174738,0.252077198405,0.0647833114115,0.252077802832,0.256009817738,0.0154777040302,
0.45,0.205944897291,0.205760653923,0,0.206004027885,0.206036186953,0.000156096743657,
