r0,r1,100H,101L,100to101,101H,102L,101to102,200H,201L,200to201,298H,299L,298to299,300H,301L,300to301,301H,302L,301to302
0.4,0,0.155338823,0.210120336,30%,0.21016086,0.21592002,0.027033178,0.267444647,0.267466158,8.04E-05,0.299500839,0.303074288,0.011860593,0.304836172,0.305100676,0.000867316,0.305694977,0.309654017,0.012867624
0.35,0,0.166515236,0.223846655,29%,0.223858904,0.232409383,0.03748005,0.294906334,0.295281471,0.001271245,0.329715526,0.329590426,0,0.331373135,0.331345337,0,0.331469427,0.331858482,0.001173042
0.45,0,0.146489892,0.194623576,28%,0.194726353,0.198671826,0.020058419,0.243749718,0.243944128,0.000797262,0.27555872,0.28220197,0.02382115,0.283788645,0.294555941,0.037234884,0.294799509,0.302946366,0.027258597
0.4,0.05,0.155084571,0.206518737,28%,0.206563991,0.212481508,0.028242835,0.265851986,0.265902268,0.000189121,0.299121291,0.299125411,1.38E-05,0.302610689,0.303096731,0.001604874,0.303794306,0.305326486,0.005030791
0.35,0.05,0.166215205,0.21920905,27%,0.219225794,0.227691508,0.037884923,0.292080427,0.292324557,0.00083548,0.328953862,0.328829887,0,0.330248876,0.330350311,0.000307101,0.330644258,0.33057474,0
0.45,0.05,0.146264104,0.191979273,27%,0.192086199,0.19620466,0.021213281,0.242704472,0.242897917,0.000796725,0.275293267,0.281133985,0.020993646,0.283124196,0.290391208,0.025341994,0.290873934,0.297516589,0.02257907
0.3,0,0.180992993,0.234547575,26%,0.234553801,0.246072241,0.047930988,0.325599884,0.3257414,0.000434536,0.371205204,0.371150793,0,0.371813613,0.371827727,3.80E-05,0.37219058,0.371970977,0
0.5,0,0.139292785,0.179237779,25%,0.179430387,0.182254029,0.015613847,0.224404186,0.224296052,0,0.25730116,0.265559717,0.031589885,0.266775815,0.286931369,0.072802214,0.287030088,0.295227129,0.028156082
0.5,0.05,0.139085136,0.177287168,24%,0.177483533,0.180437819,0.016508018,0.223633985,0.223544972,0,0.257074644,0.264681018,0.029156844,0.266281563,0.282962063,0.060739893,0.283116202,0.290487647,0.025702217
0.4,0.1,0.154228104,0.195575845,24%,0.195649635,0.201623155,0.030072635,0.25937929,0.259353753,0,0.295802251,0.295804575,7.86E-06,0.297590523,0.297656095,0.000220318,0.297988766,0.298099945,0.000373031
0.3,0.05,0.180612119,0.229203496,24%,0.22921479,0.240111316,0.046434776,0.320599128,0.320540172,0,0.370075631,0.370149069,0.00019842,0.370673997,0.370738538,0.000174102,0.371066863,0.371082157,4.12E-05
0.45,0.1,0.145513433,0.183736921,23%,0.183868953,0.188320207,0.023919314,0.238733564,0.238827438,0.000393141,0.274162412,0.275968046,0.006564386,0.279125434,0.279104463,0,0.27968405,0.281435351,0.006242167
0.35,0.1,0.165187642,0.205614667,22%,0.205662791,0.213276266,0.036346454,0.279879308,0.279839146,0,0.32543424,0.325786011,0.001080342,0.326508739,0.326508743,9.64E-09,0.326929576,0.326844413,0
0.5,0.1,0.138402647,0.171161862,21%,0.171379531,0.174651806,0.018913173,0.220726336,0.220590937,0,0.256154675,0.261032571,0.018863173,0.264134794,0.270205998,0.02272409,0.270934198,0.27484987,0.014348796
0.25,0,0.200115841,0.243352045,19%,0.24336557,0.25634966,0.051965955,0.355822509,0.35655745,0.002063338,0.424849229,0.424870597,5.03E-05,0.425678259,0.425662674,0,0.42604852,0.426077359,6.77E-05
0.3,0.1,0.179280704,0.213836438,18%,0.213895299,0.222572375,0.039760449,0.298732886,0.299070041,0.00112798,0.36064986,0.360686945,0.000102823,0.361373407,0.361483441,0.00030444,0.361894996,0.362127715,0.00064285
0.25,0.05,0.199578282,0.237733732,17%,0.237761355,0.249601441,0.048588384,0.346317622,0.34678026,0.001334985,0.421095808,0.420637497,0,0.421777489,0.421680273,0,0.422387213,0.422122362,0
0.45,0.15,0.144091208,0.170851444,17%,0.171049745,0.175637243,0.026464787,0.229656489,0.229434403,0,0.26842155,0.268560588,0.000517852,0.269401678,0.269679482,0.001030657,0.27015174,0.270193405,0.000154218
0.5,0.15,0.137132687,0.161236888,16%,0.161501469,0.165077346,0.021899011,0.214635325,0.21432442,0,0.252845303,0.252881219,0.000142037,0.254272428,0.25468333,0.001614689,0.256079434,0.256451204,0.001450724
0.4,0.15,0.152577003,0.179433869,16%,0.179596588,0.185168105,0.030548556,0.244198489,0.244052122,0,0.288261443,0.288143406,0,0.289182621,0.289121716,0,0.289310053,0.289365583,0.000191921
0.35,0.15,0.16317691,0.186691303,13%,0.186865819,0.1931462,0.033053588,0.25605688,0.256083376,0.000103471,0.303568413,0.304178243,0.002006857,0.305059701,0.311581794,0.021153596,0.311595883,0.314657341,0.009777059
0.2,0,0.226132195,0.253206952,11%,0.253305465,0.265234594,0.046010443,0.376772794,0.377614052,0.00223031,0.475670037,0.475761827,0.000192952,0.477434136,0.477619904,0.000389021,0.47816626,0.47809343,0
0.25,0.1,0.197664102,0.22148504,11%,0.221643956,0.230217214,0.037946425,0.313042662,0.313251319,0.000666323,0.379424872,0.380781898,0.003570149,0.382404005,0.404904312,0.057157548,0.404946169,0.405834633,0.002191627
0.45,0.2,0.141932475,0.156602814,10%,0.156912408,0.161169236,0.026765635,0.215106704,0.214879162,0,0.256027168,0.256100614,0.000286829,0.257446417,0.257737606,0.001130429,0.258104721,0.258091667,0
0.5,0.2,0.13522402,0.149556391,10%,0.149893523,0.153465482,0.023549385,0.204485277,0.204093781,0,0.243179165,0.243174697,0,0.244198733,0.244209942,4.59E-05,0.244541612,0.244548041,2.63E-05
0.2,0.05,0.225265064,0.247526218,9%,0.247704094,0.258206799,0.041519981,0.363878844,0.364430423,0.001514684,0.463548507,0.463689735,0.00030462,0.465158343,0.465483765,0.00069935,0.466283454,0.466917481,0.001358821
